0,IUPAC_name,official_name,aliases,designated_date_ja,pubchem_cid,inchi_key,effective_date,gazette_date,source_link
34,"N-[1-amino-3,3-dimethyl-1-oxobutan-2-yl]-5-bromo-1-(1,1,2,2,3,3,4,4,4-nonadeuteriobutyl)indazole-3-carboxamide  ",ADB-5’Br-BUTINACA,,令和6年8月7日,https://pubchem.ncbi.nlm.nih.gov/compound/172873365,,,,
35,"N-(1-amino-3,3-dimethyl-1-oxobutan-2-yl)-5-bromo-1-pentylindazole-3-carboxamide",ADB-5’Br-PINACA,,令和6年11月6日,https://pubchem.ncbi.nlm.nih.gov/compound/168323135,,,,
36,"N-(1-amineo-3,3-jimechiru-1 -okisobutan-2-iru)-1-heki shiru-1H-indazo-ru-3-karubo kisamido",ADB-HEXINACA;  ADB-HINACA,,令和4年12月16日,,,,,
37,"N-(1-amineo-3,3-jimechiru-1 -okisobutan-2-iru)-1-ben jiru-1H-indazo-ru-3-karubo kisamido",ADB-BINACA,,令和5年8月31日,,,,,
38,"N-(1-amineo-3,3-jimechiru-1 -okisobutan-2-iru)-1-(pen ta-4-en-1-iru)-1H-inda zo-ru-3-karubokisamido",ADB-4en-PINACA,,令和5年10月26日,,,,,
39,"N-(1-amineo-3,3-jimechiru-1 -okisobutan-2-iru)-1-pen chiru-1H-indazo-ru-3-karubo kisamido",ADB-PINACA,,平成26年6月11日,,,,,
40,"N-(1-amineo-3,3-jimechiru-1 -okisobutan-2-iru)-1-pen chiru-1H-indo-ru-3-karuboki samido",ADBICA,,平成25年4月30日,,,,,
41,"2-amineo-1-(4-buromo-2,5-ji methoxyphenyl)etanon",bk-2C-B,,平成27年3月25日,,,,,
42,N-(1-amineo-3-mechiru-1-oki sobutan-2-iru)-1-(5-kuroro penchiru)-1H-indazo-ru-3- karubokisamido,5Cl-AB-PINACA,,平成26年10月29日,,,,,
43,N-(1-amineo-3-mechiru-1-oki sobutan-2-iru)-1-(2-furuo robenzylu)-1H-indazo-ru-3 -karubokisamido,AB-FUBINACA 2- fluorobenzyl isomer,,平成27年11月25日,,,,,
44,N-(1-amineo-3-mechiru-1-oki sobutan-2-iru)-1-(5-furuoro penchiru)-1H-indazo-ru-3-karubo kisamido,5-Fluoro-AB-PINACA,,平成26年6月11日,,,,,
45,N-(1-amineo-3-mechiru-1-oki sobutan-2-iru)-1-(5-furuo ropenchiru)-1H-indo-ru-3-ka rubokisamido,5-Fluoro-ABICA,,平成26年8月15日,,,,,
46,"2-(4-ariruokishi-3,5-jimeto kishiphenyl)etanamine 類",Allylescaline,,平成27年3月25日,,,,,
47,"7-ariru-N,N-jiechiru-4-(chi ofen-2-karuboniru)-4,6,6 a,7,8,9-hekisahidoroindoro[4, 3-fg]kinorin-9-karubokisamido及 びその salts",1T-AL-LAD,,令和7年7月3日,,,,,
48,"7-ariru-N,N-jiechiru-4,6,6 a,7,8,9-hekisahidoroindoro[4,3 -fg]kinorin-9-karubokisamido及び その salts",AL-LAD,,令和2年2月28日,,,,,
49,"7-ariru-4-(shikuropuropirukaru boniru)-N,N-jiechiru-4,6,6 a,7,8,9-hekisahidoroindoro[4, 3-fg]kinorin-9-karubokisamido及 びその salts",1cP-AL-LAD,,令和7年1月27日,,,,,
50,2-(isopropylamineo)-2-(3-meto kishiphenyl)shikurohekisanon及びそ の salts,Methoxisopropamine;  MXiPr,,令和4年12月16日,,,,,
51,"1-(4-isopropylsurufaniru- 2,5-jimethoxyphenyl)puropan-2 -amine",ALEPH-4,,平成23年4月14日,,,,,
52,N-isopropyl-N-mechirutoriputami n,MIPT,,平成19年2月28日,,,,,
53,N-isopropyl-5-methoxy-N-me chirutoriputamine,5-MeO-MIPT,,平成19年2月28日,,,,,
54,一酸化二窒素,亜酸化窒素;  Nitrous oxide,,平成28年2月18日,,,,,
55,indan-2-amine,2-AI,,平成19年12月12日,,,,,
56,1-(indan-5-iru)-2-(pirori jin-1-iru)butan-1-on及び その salts,α-PBP indane analog;  5-PPDI,,平成27年1月30日,,,,,
57,1-(indan-5-iru)-2-(pirori jin-1-iru)hekisan-1-on及 びその salts,α-PHP indane analog;  5-BPDI,,平成27年2月18日,,,,,
58,"(1H-indo-ru-3-iru)(2,2, 3,3-tetoramechirushikuropuropan-1 -iru)metanon",DP-UR-144,,平成26年9月19日,,,,,
59,1-(1H-indo-ru-5-iru)puro pan-2-amine,5-API;  5-IT,,平成24年12月17日,,,,,
60,2-(echiruamineo)-1-(indan-5 -iru)butan-1-on,bk-IBP,,平成27年1月30日,,,,,
61,2-(echiruamineo)-1-(indan-5 -iru)pentan-1-on 類,bk-IVP,,平成27年1月30日,,,,,
62,3-[1-(echiruamineo)shikurohekishi ru]feno-ru,3-HO-PCE,,令和元年12月17日,,,,,
